Aalsum	"53.308333, 6.369444"
Achterdiep	"53.172222, 6.788889"
Achter-Thesinge	"53.281944, 6.656944"
Adorp	"53.275000, 6.533333"
Aduard	"53.256944, 6.459722"
Aduarderzijl	"53.318056, 6.468056"
Agodorp	"52.872222, 7.083333"
Alinghuizen	"53.312500, 6.501389"
Allersma	"53.318056, 6.454167"
Alteveer	"53.051389, 6.994444"
Amsweer	"53.308333, 6.902778"
Appingedam	"53.322222, 6.858333"
Arwerd	"53.352778, 6.836111"
Baamsum	"53.284722, 7.041667"
Baflo	"53.362500, 6.513889"
Bakkerom	"53.200000, 6.325000"
Balmahuizen	"53.272222, 6.369444"
Bareveld	"53.052778, 6.847222"
Barlage	"53.012500, 7.055556"
Barnflair	"52.855556, 7.080556"
Bedum	"53.301389, 6.602778"
Beersterhoogen	"53.183333, 7.133333"
Beerta	"53.175000, 7.091667"
Bellingwolde	"53.116667, 7.165278"
Beneden Veensloot	"53.130556, 6.923611"
Beswerd	"53.284722, 6.459722"
Bethlehem	"53.383333, 6.609722"
Bierum	"53.383333, 6.859722"
Biessum	"53.333333, 6.895833"
Bikkershorn	"53.147222, 6.994444"
Blauw	"53.127778, 6.368056"
Blekslage	"52.990278, 7.063889"
Blijham	"53.109722, 7.076389"
Blokum	"53.259722, 6.719444"
Boerakker	"53.187500, 6.327778"
Boerenstreek	"53.115278, 6.345833"
Bolshuizen	"53.300000, 6.479167"
Booneschans	"53.162500, 7.172222"
Borgercompagnie	"53.123611, 6.813889"
Borgertange	"52.937500, 7.112500"
Borgerveld	"52.931944, 7.113889"
Borgsweer	"53.298611, 7.012500"
Borgweg	"53.179167, 6.712500"
Bourtange	"53.009722, 7.190278"
Boven Pekela	"53.033333, 6.933333"
Bovenrijge	"53.272222, 6.663889"
Bovenstreek	"53.125000, 6.959722"
Boven Veensloot	"53.125000, 6.916667"
Breede	"53.386111, 6.537500"
Brillerij	"53.287500, 6.481944"
Briltil	"53.241667, 6.388889"
Broek	"53.393056, 6.425000"
Bronsveen	"53.101389, 7.038889"
Burgemeester Beinsdorp	"52.862500, 7.079167"
Dallingeweer	"53.294444, 7.063889"
De Bruil	"52.875000, 7.109722"
De Bult	"53.151389, 7.130556"
De Haar	"53.130556, 6.223611"
De Har	"53.340278, 6.686111"
De Haspel	"53.104167, 6.338889"
De Holm	"53.169444, 6.344444"
De Houw	"53.362500, 6.363889"
De Jammer	"53.194444, 6.338889"
De Jouwer	"53.206944, 6.304167"
Dekkershuizen	"53.406944, 6.836111"
De Lethe	"53.115278, 7.194444"
Delfzijl	"53.330556, 6.918056"
De Maten	"52.859722, 7.061111"
Den Andel	"53.393056, 6.508333"
Denemarken	"53.229167, 6.784722"
Den Ham	"53.273611, 6.427778"
Den Ham	"53.136111, 7.166667"
Den Horn	"53.227778, 6.444444"
De Paauwen	"53.261111, 6.777778"
De Poffert	"53.209722, 6.458333"
De Ruigewaard	"53.301389, 6.312500"
De Snipperij	"53.177778, 6.251389"
De Streek	"53.408333, 6.638889"
De Wilp	"53.116667, 6.255556"
